origin	name	size	site	multiplicity	edge_num	like_weight_ratio	post_prob	classification	scientific_name	domain_id	domain_name	division_id	division_name	class_id	class_name
COG0018.aligned	.1-.8_coastal_FGI7SFI01A02EB_18	.1-.8	coastal	1	1931	0.711332	0.756401	54526	SAR11 cluster	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0179.aligned	.1-.8_coastal_FGI7SFI01A02G0_4	.1-.8	coastal	1	1955	0.815101	0.8137	1016	Capnocytophaga	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0404.aligned	.1-.8_coastal_FGI7SFI01A02KO_8	.1-.8	coastal	1	3324	0.349955	0.425756	35127	Thalassiosira	2759	Eukaryota	33634	Stramenopiles	2836	Bacillariophyta
COG1360.aligned	.1-.8_coastal_FGI7SFI01A02Z8_8	.1-.8	coastal	1	910	0.25735	0.331277	139043	environmental samples	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0195.aligned	.1-.8_coastal_FGI7SFI01A03AP_5	.1-.8	coastal	1	3281	0.329454	0.552793	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0653.aligned	.1-.8_coastal_FGI7SFI01A03B5_12	.1-.8	coastal	1	147	0.990945	0.993133	33809	unclassified Betaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	28216	Betaproteobacteria
COG3175.aligned	.1-.8_coastal_FGI7SFI01A03ET_14	.1-.8	coastal	1	168	0.825666	0.860676	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG1171.aligned	.1-.8_coastal_FGI7SFI01A03FL_6	.1-.8	coastal	1	1555	0.344161	0.421401	69657	Hyphomonadaceae	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0303.aligned	.1-.8_coastal_FGI7SFI01A03KF_15	.1-.8	coastal	1	339	0.847306	0.662956	32011	Methylophilaceae	2	Bacteria	1224	Proteobacteria	28216	Betaproteobacteria
COG0166.aligned	.1-.8_coastal_FGI7SFI01A03OQ_6	.1-.8	coastal	1	385	0.859841	0.820211	1016	Capnocytophaga	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG1028.aligned	.1-.8_coastal_FGI7SFI01A03UX_13	.1-.8	coastal	1	3988	0.298703	0.556334	68287	Mesorhizobium	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0234.aligned	.1-.8_coastal_FGI7SFI01A04BP_3	.1-.8	coastal	1	1930	1	1	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0234.aligned	.1-.8_coastal_FGI7SFI01A04BP_7	.1-.8	coastal	1	1930	0.981249	0.992521	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1049.aligned	.1-.8_coastal_FGI7SFI01A04DX_16	.1-.8	coastal	1	848	0.297559	0.350488	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG3839.aligned	.1-.8_coastal_FGI7SFI01A04PG_5	.1-.8	coastal	1	2792	0.605926	0.76347	28211	Alphaproteobacteria	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG2947.aligned	.1-.8_coastal_FGI7SFI01A04UY_4	.1-.8	coastal	1	1255	0.264748	0.186791	31989	Rhodobacteraceae	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0407.aligned	.1-.8_coastal_FGI7SFI01A050P_13	.1-.8	coastal	1	836	0.760863	0.830958	442430	Coraliomargarita	2	Bacteria	51290	Chlamydiae/Verrucomicrobia group	74201	Verrucomicrobia
COG3119.aligned	.1-.8_coastal_FGI7SFI01A0533_4	.1-.8	coastal	1	266	0.436507	0.476008	237	Flavobacterium	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG3203.aligned	.1-.8_coastal_FGI7SFI01A057T_3	.1-.8	coastal	1	451	0.974643	0.98585	744995	OMG group	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1134.aligned	.1-.8_coastal_FGI7SFI01A057Z_13	.1-.8	coastal	1	1364	0.572215	0.545957	58840	unclassified Rhodobacteraceae	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG1190.aligned	.1-.8_coastal_FGI7SFI01A059E_2	.1-.8	coastal	1	3080	0.203718	0.173843	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0661.aligned	.1-.8_coastal_FGI7SFI01A05KM_4	.1-.8	coastal	1	3198	1	1	51368	unclassified dsDNA viruses	10239	Viruses	51368	unclassified dsDNA viruses	-1	NULL
COG0534.aligned	.1-.8_coastal_FGI7SFI01A05OA_6	.1-.8	coastal	1	3675	0.983187	0.99351	744995	OMG group	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0115.aligned	.1-.8_coastal_FGI7SFI01A05XB_7	.1-.8	coastal	1	2470	0.501665	0.510756	58840	unclassified Rhodobacteraceae	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG1198.aligned	.1-.8_coastal_FGI7SFI01A0653_15	.1-.8	coastal	1	3246	0.850712	0.65401	285892	unclassified Rhodobacterales	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0146.aligned	.1-.8_coastal_FGI7SFI01A0670_5	.1-.8	coastal	1	1599	0.949639	0.955402	33807	unclassified Alphaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0592.aligned	.1-.8_coastal_FGI7SFI01A069Y_15	.1-.8	coastal	1	2140	0.270352	0.349018	34019	Candidatus Liberibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0674.aligned	.1-.8_coastal_FGI7SFI01A06AJ_7	.1-.8	coastal	1	1717	0.368909	0.499869	1760	Actinobacteria	2	Bacteria	201174	Actinobacteria	1760	Actinobacteria
COG4785.aligned	.1-.8_coastal_FGI7SFI01A06D3_16	.1-.8	coastal	1	350	0.439753	0.787176	186802	Clostridiales	2	Bacteria	1239	Firmicutes	186801	Clostridia
COG4221.aligned	.1-.8_coastal_FGI7SFI01A06NU_6	.1-.8	coastal	1	773	0.236657	0.197955	114277	spotted fever group	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0540.aligned	.1-.8_coastal_FGI7SFI01A06WV_13	.1-.8	coastal	1	2263	1	1	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1049.aligned	.1-.8_coastal_FGI7SFI01A071P_19	.1-.8	coastal	1	845	0.835686	0.965058	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0173.aligned	.1-.8_coastal_FGI7SFI01A07CR_10	.1-.8	coastal	1	4126	0.185544	0.13497	6656	Arthropoda	2759	Eukaryota	33154	Opisthokonta	33208	Metazoa
COG2353.aligned	.1-.8_coastal_FGI7SFI01A07J4_10	.1-.8	coastal	1	1318	0.344795	0.377145	55197	Flavobacterium branchiophilum	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0224.aligned	.1-.8_coastal_FGI7SFI01A07OB_13	.1-.8	coastal	1	3122	0.930081	0.877839	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0104.aligned	.1-.8_coastal_FGI7SFI01A0812_15	.1-.8	coastal	1	224	0.29773	0.0878767	74967	unclassified Thermoplasmatales	2157	Archaea	28890	Euryarchaeota	183967	Thermoplasmata
COG5488.aligned	.1-.8_coastal_FGI7SFI01A088M_9	.1-.8	coastal	1	58	0.824779	0.921045	744996	OM60 clade	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0114.aligned	.1-.8_coastal_FGI7SFI01A0936_8	.1-.8	coastal	1	1316	0.351136	0.517557	200644	Flavobacteriales	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG1195.aligned	.1-.8_coastal_FGI7SFI01A098Q_16	.1-.8	coastal	1	2635	0.444541	0.419263	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG3108.aligned	.1-.8_coastal_FGI7SFI01A09F6_16	.1-.8	coastal	1	938	0.456431	0.341668	79205	unclassified dsDNA phages	10239	Viruses	79205	unclassified dsDNA phages	-1	NULL
COG0317.aligned	.1-.8_coastal_FGI7SFI01A09O7_14	.1-.8	coastal	1	1048	0.960208	0.979755	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0148.aligned	.1-.8_coastal_FGI7SFI01A09S7_3	.1-.8	coastal	1	4418	1	1	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0102.aligned	.1-.8_coastal_FGI7SFI01A09UT_14	.1-.8	coastal	1	118	1	1	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0188.aligned	.1-.8_coastal_FGI7SFI01A09V6_13	.1-.8	coastal	1	4599	0.358835	0.529725	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0111.aligned	.1-.8_coastal_FGI7SFI01A09WK_5	.1-.8	coastal	1	4473	0.547787	0.591656	40137	Oligotropha carboxidovorans	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG4206.aligned	.1-.8_coastal_FGI7SFI01A09WX_14	.1-.8	coastal	1	550	0.333345	0.427045	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0488.aligned	.1-.8_coastal_FGI7SFI01A09YC_9	.1-.8	coastal	1	2649	0.455452	0.459207	89374	Saprospiraceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG3605.aligned	.1-.8_coastal_FGI7SFI01A0A04_11	.1-.8	coastal	1	652	0.274468	0.302111	2433	Roseobacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG5652.aligned	.1-.8_coastal_FGI7SFI01A0A0T_13	.1-.8	coastal	1	1393	0.234591	0.266247	200666	Sphingobacteriales	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG1117.aligned	.1-.8_coastal_FGI7SFI01A0A18_6	.1-.8	coastal	1	2943	1	1	744995	OMG group	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0445.aligned	.1-.8_coastal_FGI7SFI01A0A30_17	.1-.8	coastal	1	1483	0.350627	0.571877	1501348	Amoebophilaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0554.aligned	.1-.8_coastal_FGI7SFI01A0A7R_9	.1-.8	coastal	1	2782	0.206504	0.269515	2759	Eukaryota	2759	Eukaryota	-1	NULL	-1	NULL
COG0719.aligned	.1-.8_coastal_FGI7SFI01A0AGM_16	.1-.8	coastal	1	3902	0.422387	0.59553	979	Cellulophaga lytica	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG1008.aligned	.1-.8_coastal_FGI7SFI01A0AJ3_8	.1-.8	coastal	1	4754	0.872258	0.714689	198252	Candidatus Pelagibacter ubique	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG1028.aligned	.1-.8_coastal_FGI7SFI01A0AJM_16	.1-.8	coastal	1	4552	1	1	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG1012.aligned	.1-.8_coastal_FGI7SFI01A0AO4_6	.1-.8	coastal	1	1986	0.246143	0.329732	777	Coxiella burnetii	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG2177.aligned	.1-.8_coastal_FGI7SFI01A0B22_6	.1-.8	coastal	1	2873	0.454827	0.474119	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0481.aligned	.1-.8_coastal_FGI7SFI01A0BBJ_7	.1-.8	coastal	1	1396	0.934996	0.958981	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG1212.aligned	.1-.8_coastal_FGI7SFI01A0BBV_2	.1-.8	coastal	1	1656	0.490807	0.397647	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG1049.aligned	.1-.8_coastal_FGI7SFI01A0BD3_11	.1-.8	coastal	1	1456	1	1	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG2518.aligned	.1-.8_coastal_FGI7SFI01A0BI9_11	.1-.8	coastal	1	930	0.231411	0.284785	246874	Cryomorphaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG1249.aligned	.1-.8_coastal_FGI7SFI01A0BRL_6	.1-.8	coastal	1	3916	1	1	78537	unclassified Actinobacteria (miscellaneous)	2	Bacteria	201174	Actinobacteria	1760	Actinobacteria
COG0385.aligned	.1-.8_coastal_FGI7SFI01A0BS2_5	.1-.8	coastal	1	377	0.890962	0.89603	54526	SAR11 cluster	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0542.aligned	.1-.8_coastal_FGI7SFI01A0C9A_13	.1-.8	coastal	1	90	0.281299	0.435028	403	Methylococcaceae	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0788.aligned	.1-.8_coastal_FGI7SFI01A0CF7_3	.1-.8	coastal	1	1448	0.126213	0.179174	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG1186.aligned	.1-.8_coastal_FGI7SFI01A0CL9_15	.1-.8	coastal	1	1762	0.953489	0.85056	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0079.aligned	.1-.8_coastal_FGI7SFI01A0D2E_6	.1-.8	coastal	1	1703	0.304003	0.363898	255727	Coriobacterineae	2	Bacteria	201174	Actinobacteria	1760	Actinobacteria
COG4198.aligned	.1-.8_coastal_FGI7SFI01A0D33_5	.1-.8	coastal	1	1501	0.489672	0.462527	200666	Sphingobacteriales	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0542.aligned	.1-.8_coastal_FGI7SFI01A0D39_2	.1-.8	coastal	1	10	0.905923	0.965479	135619	Oceanospirillales	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0026.aligned	.1-.8_coastal_FGI7SFI01A0D50_13	.1-.8	coastal	1	1979	0.31305	0.421618	338190	Nitrosopumilaceae	2157	Archaea	651137	Thaumarchaeota	31932	Nitrosopumilales
COG0162.aligned	.1-.8_coastal_FGI7SFI01A0D5L_11	.1-.8	coastal	1	1033	0.280212	0.313895	85006	Micrococcineae	2	Bacteria	201174	Actinobacteria	1760	Actinobacteria
COG3962.aligned	.1-.8_coastal_FGI7SFI01A0D7V_6	.1-.8	coastal	1	53	0.643314	0.722744	54526	SAR11 cluster	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0208.aligned	.1-.8_coastal_FGI7SFI01A0D87_11	.1-.8	coastal	1	2930	0.929931	0.950927	196896	unclassified Myoviridae	10239	Viruses	28883	Caudovirales	10662	Myoviridae
COG0497.aligned	.1-.8_coastal_FGI7SFI01A0DHI_4	.1-.8	coastal	1	600	0.157373	0.187098	195950	Tannerella	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0365.aligned	.1-.8_coastal_FGI7SFI01A0DWE_3	.1-.8	coastal	1	4937	1	1	1763	Mycobacterium	2	Bacteria	201174	Actinobacteria	1760	Actinobacteria
COG0399.aligned	.1-.8_coastal_FGI7SFI01A0DX9_14	.1-.8	coastal	1	2828	0.408523	0.575191	578833	Pseudomonas stutzeri subgroup	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1192.aligned	.1-.8_coastal_FGI7SFI01A0DZJ_13	.1-.8	coastal	1	375	0.308372	0.289909	468	Moraxellaceae	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1960.aligned	.1-.8_coastal_FGI7SFI01A0E7R_11	.1-.8	coastal	1	1259	0.606336	0.878342	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG2366.aligned	.1-.8_coastal_FGI7SFI01A0E89_14	.1-.8	coastal	1	1362	0.590685	0.534045	48073	Microbulbifer	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG4764.aligned	.1-.8_coastal_FGI7SFI01A0EBH_19	.1-.8	coastal	1	84	0.660502	0.8053	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG1612.aligned	.1-.8_coastal_FGI7SFI01A0EFQ_6	.1-.8	coastal	1	3071	0.976272	0.987408	246874	Cryomorphaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0696.aligned	.1-.8_coastal_FGI7SFI01A0F6G_11	.1-.8	coastal	1	1407	0.169808	0.148639	83612	Psychroflexus	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG3808.aligned	.1-.8_coastal_FGI7SFI01A0G42_4	.1-.8	coastal	1	275	0.408798	0.461548	54526	SAR11 cluster	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG2114.aligned	.1-.8_coastal_FGI7SFI01A0GA5_5	.1-.8	coastal	1	1514	0.226281	0.289181	171549	Bacteroidales	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0540.aligned	.1-.8_coastal_FGI7SFI01A0GGG_8	.1-.8	coastal	1	456	0.535139	0.69773	200667	Flammeovirgaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG1121.aligned	.1-.8_coastal_FGI7SFI01A0GLX_7	.1-.8	coastal	1	977	0.977568	0.995661	433334	unclassified Erysipelotrichaceae	2	Bacteria	1239	Firmicutes	526524	Erysipelotrichia
COG4152.aligned	.1-.8_coastal_FGI7SFI01A0GN5_7	.1-.8	coastal	1	2224	0.244621	0.358297	976	Bacteroidetes	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG5002.aligned	.1-.8_coastal_FGI7SFI01A0GS6_5	.1-.8	coastal	1	6269	0.442551	0.369618	146919	Salinibacter ruber	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG5016.aligned	.1-.8_coastal_FGI7SFI01A0GSE_6	.1-.8	coastal	1	204	0.692607	0.724145	267888	Pseudoalteromonadaceae	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG2951.aligned	.1-.8_coastal_FGI7SFI01A0GTE_15	.1-.8	coastal	1	1755	0.785561	0.744573	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1048.aligned	.1-.8_coastal_FGI7SFI01A0GUI_5	.1-.8	coastal	1	44	0.573232	0.61316	198252	Candidatus Pelagibacter ubique	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0055.aligned	.1-.8_coastal_FGI7SFI01A0GXG_15	.1-.8	coastal	1	1540	0.910912	0.84467	198252	Candidatus Pelagibacter ubique	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0445.aligned	.1-.8_coastal_FGI7SFI01A0HGM_7	.1-.8	coastal	1	456	0.784664	0.863836	33055	Kinetoplastibacterium	2	Bacteria	1224	Proteobacteria	28216	Betaproteobacteria
COG3968.aligned	.1-.8_coastal_FGI7SFI01A0HH7_5	.1-.8	coastal	1	1145	0.101525	0.14731	104264	Cellulophaga	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0019.aligned	.1-.8_coastal_FGI7SFI01A0HP5_18	.1-.8	coastal	1	1932	0.500778	0.42559	78537	unclassified Actinobacteria (miscellaneous)	2	Bacteria	201174	Actinobacteria	1760	Actinobacteria
COG0443.aligned	.1-.8_coastal_FGI7SFI01A0IEK_10	.1-.8	coastal	1	3353	0.29923	0.304385	237	Flavobacterium	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG4651.aligned	.1-.8_coastal_FGI7SFI01A0IFJ_13	.1-.8	coastal	1	1059	0.984717	0.990302	72275	Alteromonadaceae	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1832.aligned	.1-.8_coastal_FGI7SFI01A0ILK_13	.1-.8	coastal	1	1243	0.381121	0.386883	54526	SAR11 cluster	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0395.aligned	.1-.8_coastal_FGI7SFI01A0IOZ_3	.1-.8	coastal	1	1990	0.703624	0.833088	1224	Proteobacteria	2	Bacteria	1224	Proteobacteria	-1	NULL
COG0403.aligned	.1-.8_coastal_FGI7SFI01A0IQO_14	.1-.8	coastal	1	1230	0.966589	0.972583	33854	Fragilariophycidae	2759	Eukaryota	33634	Stramenopiles	2836	Bacillariophyta
COG0307.aligned	.1-.8_coastal_FGI7SFI01A0J91_15	.1-.8	coastal	1	730	0.485347	0.696193	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0668.aligned	.1-.8_coastal_FGI7SFI01A0JCR_6	.1-.8	coastal	1	832	0.600404	0.704762	33807	unclassified Alphaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0277.aligned	.1-.8_coastal_FGI7SFI01A0JEJ_14	.1-.8	coastal	1	2487	1	1	33807	unclassified Alphaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0004.aligned	.1-.8_coastal_FGI7SFI01A0JGR_4	.1-.8	coastal	1	2736	1	1	33807	unclassified Alphaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0749.aligned	.1-.8_coastal_FGI7SFI01A0JH7_9	.1-.8	coastal	1	2885	0.966012	0.961879	237	Flavobacterium	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
